iter	Logloss
0	0.6867064994
1	0.6793894116
2	0.6736509494
3	0.667036872
4	0.6599427184
5	0.6531023929
6	0.6468457636
7	0.6413990407
8	0.6360221011
9	0.6309485408
10	0.6263833251
11	0.6213224837
12	0.6161993482
13	0.6113393671
14	0.6058037764
15	0.6008311892
16	0.5966505303
17	0.592511859
18	0.5887021969
19	0.5845262468
20	0.5806953014
21	0.5771045816
22	0.5733037012
23	0.5696661108
24	0.5658455026
25	0.5625680455
26	0.5594104998
27	0.5561273528
28	0.5530561562
29	0.5504106234
30	0.547579784
31	0.544459542
32	0.5411789201
33	0.5385007824
34	0.5356562475
35	0.5327564363
36	0.530229461
37	0.5274554534
38	0.525034391
39	0.5228072721
40	0.5212956902
41	0.5190978806
42	0.5168149971
43	0.5144943601
44	0.512299803
45	0.5106128091
46	0.5089142514
47	0.5069357073
48	0.5046817089
49	0.5025104153
50	0.5008045778
51	0.4991776891
52	0.4976094846
53	0.4961985163
54	0.4944151725
55	0.4930622772
56	0.4913684582
57	0.4898281153
58	0.4879471987
59	0.4864208906
60	0.4850298704
61	0.4836659243
62	0.4819317123
63	0.480630035
64	0.4795419022
65	0.4783178432
66	0.4769073879
67	0.4758105472
68	0.4746705373
69	0.4736179535
70	0.4725032996
71	0.4711099471
72	0.4699033023
73	0.4690055383
74	0.4682199275
75	0.4670337622
76	0.4657213977
77	0.4646554651
78	0.4633452924
79	0.4626354695
80	0.4616681805
81	0.460870275
82	0.4598761616
83	0.4586970313
84	0.4576087136
85	0.4563298254
86	0.4557416191
87	0.4548305165
88	0.4539285475
89	0.4532689625
90	0.4527759533
91	0.4512836374
92	0.4506931093
93	0.4500098226
94	0.4492758216
95	0.4485751587
96	0.4477465697
97	0.4471143498
98	0.4465507771
99	0.4458293166
100	0.4450409451
101	0.444289517
102	0.4436443439
103	0.4432364644
104	0.4425307898
105	0.4417621634
106	0.4412024925
107	0.4406526903
108	0.4400252688
109	0.439567301
110	0.4386575122
111	0.4379394407
112	0.4374594458
113	0.4369603004
114	0.4358927276
115	0.4353720425
116	0.4350079801
117	0.4344722037
118	0.4337584628
119	0.4336485851
120	0.4330735497
121	0.4324751121
122	0.4317716421
123	0.4312927204
124	0.4308341235
125	0.4303408817
126	0.4298876388
127	0.4291991094
128	0.4286720068
129	0.4282760896
130	0.4275829488
131	0.4271873708
132	0.426478658
133	0.4259864414
134	0.4257141131
135	0.4252970711
136	0.4250044258
137	0.4245051775
138	0.4240457635
139	0.42365606
140	0.4230816622
141	0.4227747357
142	0.4221519716
