iter	Passed	Remaining
0	60	60543
1	61	30548
2	61	20560
3	62	15542
4	62	12528
5	63	10518
6	64	9083
7	64	8016
8	65	7178
9	65	6511
10	66	5965
11	66	5509
12	67	5125
13	68	4794
14	68	4505
15	69	4259
16	69	4036
17	70	3836
18	70	3661
19	71	3504
20	72	3357
21	72	3224
22	73	3103
23	73	2992
24	74	2888
25	74	2793
26	75	2704
27	75	2622
28	76	2546
29	76	2477
30	77	2414
31	77	2354
32	78	2299
33	78	2244
34	79	2192
35	80	2143
36	80	2099
37	81	2056
38	81	2013
39	82	1976
40	82	1940
41	83	1907
42	84	1873
43	84	1840
44	85	1808
45	85	1778
46	86	1749
47	86	1721
48	87	1694
49	87	1670
50	88	1645
51	88	1620
52	89	1597
53	90	1577
54	90	1556
55	91	1536
56	91	1515
57	92	1497
58	92	1479
59	93	1461
60	93	1444
61	94	1427
62	94	1411
63	95	1395
64	95	1380
65	96	1365
66	97	1351
67	97	1337
68	98	1323
69	98	1311
70	99	1299
71	99	1286
72	100	1275
73	100	1263
74	101	1251
75	102	1240
76	102	1230
77	103	1219
78	103	1208
79	104	1199
80	104	1189
81	105	1180
82	105	1170
83	106	1164
84	107	1155
85	107	1146
86	108	1137
87	108	1129
88	109	1121
89	110	1114
90	110	1107
91	111	1098
92	111	1090
93	112	1083
94	113	1076
95	113	1070
96	114	1063
97	114	1057
98	115	1051
99	116	1044
100	116	1039
101	117	1034
102	118	1028
103	118	1022
104	119	1016
105	119	1010
106	120	1005
107	121	1000
108	121	994
109	122	988
110	122	982
111	123	977
112	123	972
113	124	966
114	124	961
115	125	956
116	126	951
117	126	946
118	127	941
119	127	935
120	128	930
121	128	926
122	129	921
123	129	916
124	130	912
125	130	908
126	131	903
127	132	899
128	132	895
129	133	891
130	133	887
131	134	883
132	134	879
133	135	875
134	136	872
135	136	868
136	137	865
137	138	862
138	138	858
139	139	855
140	139	851
141	140	847
142	140	844
143	141	841
144	142	838
145	142	835
146	143	833
147	144	830
148	144	826
149	145	823
150	145	820
151	146	816
152	146	813
153	147	810
154	148	807
155	148	804
156	149	801
157	149	798
158	150	795
159	151	792
160	151	789
161	152	787
162	152	784
163	153	781
164	153	778
165	154	776
166	155	773
167	155	770
168	156	768
169	156	765
170	157	763
171	157	760
172	158	758
173	159	755
174	159	753
175	160	750
176	160	748
177	161	746
178	162	743
179	162	741
180	163	738
181	163	736
182	164	734
183	165	731
184	165	729
185	166	727
186	166	724
187	167	722
188	167	719
189	168	717
190	168	715
191	169	713
192	170	710
193	170	708
194	171	706
195	171	704
196	172	702
197	172	700
198	173	698
199	174	696
200	174	694
201	175	692
202	175	689
203	176	687
204	176	685
205	177	684
206	178	681
207	178	679
208	179	678
209	179	676
210	180	674
211	180	672
212	181	670
213	182	668
214	182	666
215	183	664
216	183	662
217	184	660
218	184	658
219	185	657
220	185	655
221	186	654
222	187	652
223	188	652
224	188	650
225	189	649
226	190	647
227	190	645
228	191	644
229	191	642
230	192	640
231	193	639
232	193	638
233	194	636
234	195	634
235	195	633
236	196	631
237	196	630
238	197	628
239	197	626
240	198	625
241	199	623
242	199	622
243	200	620
244	200	619
245	201	617
246	202	616
247	202	614
248	203	612
249	203	611
250	204	610
251	205	608
252	205	607
253	206	605
254	206	604
255	207	602
256	208	601
257	208	599
258	209	598
259	210	598
260	210	596
261	211	595
262	211	593
263	212	592
264	213	591
265	213	589
266	214	588
267	214	586
268	215	585
269	216	584
270	216	582
271	217	581
272	217	579
273	218	578
274	218	577
275	219	575
276	220	574
277	220	572
278	221	572
279	221	570
280	222	569
281	223	567
282	223	566
283	224	565
284	224	564
285	225	563
286	226	562
287	227	561
288	227	560
289	228	558
290	228	557
291	229	556
292	230	555
293	230	554
294	231	553
295	231	551
296	232	550
297	233	549
298	233	548
299	234	546
300	234	545
301	235	544
302	236	543
303	236	542
304	237	540
305	237	539
306	238	538
307	238	536
308	239	535
309	240	534
310	240	533
311	241	532
312	241	531
313	242	529
314	243	528
315	243	527
316	244	526
317	244	525
318	245	524
319	246	522
320	246	521
321	247	520
322	247	519
323	248	517
324	248	516
325	249	515
326	250	514
327	250	513
328	251	512
329	251	511
330	252	510
331	253	509
332	253	507
333	254	506
334	254	505
335	255	504
336	255	503
337	256	502
338	256	500
339	257	499
340	258	498
341	258	497
342	259	496
343	259	495
344	260	494
345	261	493
346	261	492
347	262	491
348	262	490
349	263	489
350	263	487
351	264	486
352	265	485
353	265	484
354	266	483
355	266	482
356	267	481
357	267	480
358	268	479
359	268	478
360	269	476
361	269	475
362	270	474
363	271	473
364	271	472
365	272	471
366	272	470
367	273	469
368	273	468
369	274	467
370	274	466
371	275	464
372	276	463
373	276	462
374	277	461
375	277	460
376	278	459
377	278	458
378	279	457
379	279	456
380	280	455
381	280	454
382	281	453
383	282	452
384	282	451
385	283	450
386	283	449
387	284	448
388	284	447
389	285	446
390	286	445
391	286	444
392	287	443
393	287	442
394	288	441
395	288	440
396	289	439
397	289	438
398	290	437
399	291	436
400	291	435
401	292	434
402	292	433
403	293	432
404	293	431
405	294	430
406	294	429
407	295	428
408	296	427
409	296	426
410	297	425
411	298	425
412	298	424
413	299	423
414	300	422
415	300	421
416	301	420
417	301	420
418	302	419
419	302	418
420	303	417
421	303	416
422	304	415
423	304	414
424	305	413
425	306	412
426	306	411
427	307	410
428	307	409
429	308	408
430	308	407
431	309	406
432	309	405
433	310	404
434	311	404
435	311	403
436	312	402
437	312	401
438	313	400
439	313	399
440	314	398
441	314	397
442	315	396
443	315	395
444	316	394
445	317	393
446	317	392
447	318	392
448	318	391
449	319	390
450	319	389
451	320	388
452	320	387
453	321	386
454	321	385
455	322	384
456	323	383
457	323	383
458	324	382
459	324	381
460	325	380
461	325	379
462	326	378
463	326	377
464	327	376
465	328	375
466	328	375
467	329	374
468	329	373
469	330	372
470	330	371
471	331	370
472	332	369
473	332	369
474	333	368
475	333	367
476	334	366
477	334	365
478	335	364
479	335	363
480	336	362
481	336	362
482	337	361
483	338	360
484	338	359
485	339	358
486	339	357
487	340	357
488	340	356
489	341	355
490	342	354
491	342	353
492	343	352
493	343	352
494	344	351
495	344	350
496	345	349
497	345	348
498	346	347
499	347	347
500	347	346
501	348	345
502	348	344
503	349	343
504	349	342
505	350	342
506	350	341
507	351	340
508	352	339
509	352	338
510	353	337
511	353	337
512	354	336
513	354	335
514	355	334
515	355	333
516	356	333
517	357	332
518	357	331
519	358	330
520	358	329
521	359	328
522	359	328
523	360	327
524	360	326
525	361	325
526	361	324
527	362	323
528	362	323
529	363	322
530	364	321
531	364	320
532	365	319
533	365	319
534	366	318
535	366	317
536	367	316
537	367	315
538	368	315
539	368	314
540	369	313
541	370	312
542	370	311
543	371	311
544	371	310
545	372	309
546	373	308
547	373	308
548	374	307
549	374	306
550	375	305
551	375	304
552	376	304
553	376	303
554	377	302
555	377	301
556	378	300
557	378	300
558	379	299
559	379	298
560	380	297
561	380	296
562	381	296
563	382	295
564	382	294
565	383	293
566	383	293
567	384	292
568	384	291
569	385	290
570	385	289
571	386	289
572	387	288
573	387	287
574	388	286
575	388	286
576	389	285
577	389	284
578	390	283
579	391	283
580	391	282
581	392	281
582	392	280
583	393	280
584	393	279
585	394	278
586	394	277
587	395	277
588	396	276
589	396	275
590	397	274
591	397	274
592	398	273
593	398	272
594	399	271
595	399	271
596	400	270
597	401	269
598	401	268
599	402	268
600	402	267
601	403	266
602	403	265
603	404	265
604	404	264
605	405	263
606	405	262
607	406	262
608	407	261
609	407	260
610	408	259
611	408	259
612	409	258
613	409	257
614	410	256
615	410	256
616	411	255
617	411	254
618	412	253
619	413	253
620	413	252
621	414	251
622	414	251
623	415	250
624	415	249
625	416	248
626	416	248
627	417	247
628	417	246
629	418	245
630	419	245
631	419	244
632	420	243
633	420	242
634	421	242
635	421	241
636	422	240
637	422	239
638	423	239
639	423	238
640	424	237
641	424	236
642	425	236
643	426	235
644	426	234
645	427	234
646	427	233
647	428	232
648	428	231
649	429	231
650	429	230
651	430	229
652	430	229
653	431	228
654	432	227
655	432	226
656	433	226
657	433	225
658	434	224
659	435	224
660	435	223
661	436	222
662	436	221
663	437	221
664	437	220
665	438	219
666	438	219
667	439	218
668	439	217
669	440	216
670	441	216
671	441	215
672	442	214
673	442	214
674	443	213
675	443	212
676	444	211
677	444	211
678	445	210
679	445	209
680	446	209
681	447	208
682	447	207
683	448	207
684	448	206
685	449	205
686	449	204
687	450	204
688	450	203
689	451	202
690	451	202
691	452	201
692	453	200
693	453	200
694	454	199
695	454	198
696	455	197
697	455	197
698	456	196
699	456	195
700	457	195
701	458	194
702	458	193
703	459	193
704	459	192
705	460	191
706	460	190
707	461	190
708	461	189
709	462	188
710	463	188
711	463	187
712	464	186
713	464	186
714	465	185
715	465	184
716	466	184
717	467	183
718	467	182
719	468	182
720	468	181
721	469	180
722	469	179
723	470	179
724	470	178
